studied_course,Background,interested,Hours_Study,Study_Materials,Practical_Work,Alone_Study,Hours_Sleep,Soc_Activ,stressed_anx,Exp_GPA,Calc_GPA
Genetics,History,3,10+,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,Yes,Yes,7,Volunteering Work:Programming:Fishing:Modelling:Sports,No,2,2
Linear Algebra,Computer Science,4,10+,Books-Out Of Course,No,No,3,Volunteering Work:Fishing:Sports:Programming:Friend Circle in the University,Yes,3,2.5
Genetics,Biology,3,8,Books-Recommended:Books-Out Of Course:Notes:Lecture Slides,No,No,8,Friend Circle in the University:Modelling:Volunteering Work:Sports:Programming:Fishing,No,4,4
Mandarin,Mathematics,4,5,Books-Recommended,,No,10+,Fishing:Sports,No,3,3
Databases,Chemistry,8,4,Books-Out Of Course,,Yes,4,Fishing:Sports:Volunteering Work:Friend Circle in the University,Yes,4,1.5
Functional Programming,History,9,6,Internet Resources(Videos Articles),No,Yes,4,Modelling,No,4,2.5
English,Computer Science,8,1,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,,No,2,Friend Circle in the University:Sports:Volunteering Work:Programming,Yes,3,2.5
Organic Chemistry,Computer Science,3,1,Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,4,Programming,Yes,4,1.5
Linear Algebra,Biology,6,4,Internet Resources(Videos Articles):Notes:Books-Recommended:Lecture Slides,,No,6,Fishing,Yes,1,1
Probability and Statistics,Chemistry,3,9,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,No,No,6,Friend Circle in the University:Fishing:Volunteering Work:Sports,No,3,3.5
Functional Programming,Languages,7,8,Notes:Books-Recommended:Books-Out Of Course,No,Yes,5,Programming:Friend Circle in the University:Modelling:Fishing:Sports:Volunteering Work,No,2,3
Functional Programming,Mathematics,5,8,Notes,Yes,No,8,Programming:Modelling:Friend Circle in the University:Volunteering Work:Sports:Fishing,Yes,4,4
English,Biology,2,3,Books-Out Of Course,No,Yes,0,Friend Circle in the University:Modelling:Volunteering Work:Programming:Sports:Fishing,Yes,1,2
Probability and Statistics,Computer Science,3,4,Internet Resources(Videos Articles):Notes:Lecture Slides,Prefer not to Say,Yes,5,Friend Circle in the University:Volunteering Work:Fishing,Yes,3,3.5
Organic Chemistry,Computer Science,8,7,Books-Recommended:Internet Resources(Videos Articles),No,No,3,Fishing:Friend Circle in the University:Modelling,No,3,1.5
Organic Chemistry,Computer Science,9,0,Books-Recommended:Lecture Slides,Yes,Yes,6,Modelling:Volunteering Work,No,2,3
Organic Chemistry,Languages,6,5,Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course,No,No,0,Programming:Sports:Friend Circle in the University:Modelling:Fishing,No,1,2.5
Biochemistry,Mathematics,5,9,Notes:Books-Out Of Course,,Yes,4,Volunteering Work,No,4,2.5
English,Mathematics,0,4,Books-Recommended,No,Yes,1,Volunteering Work,No,3,3.5
Functional Programming,Computer Science,7,0,Lecture Slides,No,No,1,Volunteering Work,Yes,2,2
Functional Programming,Computer Science,8,9,Books-Recommended,Prefer not to Say,No,3,Modelling:Volunteering Work,Yes,3,2.5
Biochemistry,Chemistry,0,4,Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,No,7,Programming:Friend Circle in the University,No,3,2.5
Genetics,Biology,10,10+,Books-Out Of Course:Internet Resources(Videos Articles):Notes,Yes,Yes,6,Fishing:Programming:Sports,No,4,1
Genetics,Chemistry,8,8,Lecture Slides:Internet Resources(Videos Articles):Notes,,Yes,7,Modelling:Programming,Yes,1,2.5
Mandarin,Mathematics,1,1,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Yes,No,6,Programming:Modelling:Volunteering Work:Friend Circle in the University:Sports:Fishing,Yes,1,2
Biochemistry,Mathematics,8,2,Books-Out Of Course:Notes:Books-Recommended:Internet Resources(Videos Articles),No,No,0,Sports:Modelling:Friend Circle in the University:Fishing:Programming:Volunteering Work,No,3,4
Functional Programming,History,8,10+,Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles),,No,5,Modelling:Friend Circle in the University:Volunteering Work:Sports:Fishing,No,2,1.5
Probability and Statistics,History,8,2,Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Out Of Course,,No,4,Volunteering Work:Fishing,No,3,3.5
Latin,Chemistry,9,6,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,Prefer not to Say,Yes,1,Volunteering Work,Yes,4,2
Functional Programming,Biology,2,7,Lecture Slides:Notes,Yes,No,0,Sports:Fishing:Modelling:Friend Circle in the University:Programming,No,2,1.5
Organic Chemistry,History,7,4,Books-Out Of Course:Lecture Slides,Yes,No,8,Sports,No,4,2.5
Biochemistry,Computer Science,9,6,Notes:Books-Recommended:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),Yes,Yes,5,Fishing:Volunteering Work:Programming:Modelling:Sports,No,3,1.5
Mandarin,History,5,2,Notes:Lecture Slides:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,No,3,Friend Circle in the University:Programming:Modelling:Sports,No,3,3.5
Organic Chemistry,Languages,8,5,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Notes,No,No,10+,Fishing:Volunteering Work:Sports,No,4,1.5
Latin,Languages,10,8,Lecture Slides:Books-Recommended:Books-Out Of Course,Prefer not to Say,Yes,3,Friend Circle in the University:Fishing:Sports:Programming:Volunteering Work,No,4,3.5
Databases,Biology,3,4,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,No,No,0,Modelling:Friend Circle in the University:Sports:Volunteering Work:Fishing:Programming,No,2,3
Organic Chemistry,Biology,10,4,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,No,No,6,Fishing,Yes,3,3.5
Latin,Mathematics,9,2,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Notes:Books-Out Of Course,Prefer not to Say,Yes,0,Sports,No,4,3.5
Biochemistry,Biology,5,5,Lecture Slides:Notes,Yes,Yes,0,Sports,Yes,1,2.5
Mandarin,History,1,5,Books-Recommended:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,5,Fishing,No,2,1
Linear Algebra,Languages,5,9,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,,No,4,Sports:Programming,No,3,1.5
Organic Chemistry,History,5,6,Lecture Slides,Prefer not to Say,Yes,7,Fishing,Yes,3,1
Databases,History,1,0,Books-Out Of Course,No,No,10+,Programming:Modelling:Sports,No,3,4
Mandarin,Computer Science,6,3,Books-Recommended:Internet Resources(Videos Articles),Yes,No,9,Sports:Fishing:Friend Circle in the University:Volunteering Work,No,3,4
Linear Algebra,Biology,4,5,Internet Resources(Videos Articles):Lecture Slides,,No,9,Volunteering Work:Friend Circle in the University:Sports:Fishing,Yes,2,3
Linear Algebra,Biology,8,5,Books-Recommended:Internet Resources(Videos Articles):Notes,,Yes,1,Volunteering Work:Fishing,Yes,4,2
Latin,Languages,2,0,Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Recommended:Books-Out Of Course,No,No,10+,Sports:Volunteering Work:Friend Circle in the University:Modelling:Fishing:Programming,No,3,2
Latin,Computer Science,0,9,Lecture Slides:Notes,Prefer not to Say,No,9,Friend Circle in the University:Sports,Yes,3,1.5
Biochemistry,Biology,8,7,Lecture Slides:Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),,No,4,Sports:Volunteering Work,No,1,4
Functional Programming,Computer Science,4,6,Books-Out Of Course:Lecture Slides,,No,7,Modelling:Volunteering Work:Sports:Fishing:Programming:Friend Circle in the University,Yes,2,3.5
Probability and Statistics,Mathematics,1,1,Books-Out Of Course:Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,,Yes,7,Sports:Programming:Fishing:Volunteering Work:Modelling,Yes,3,1
Organic Chemistry,Computer Science,2,3,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes,No,No,5,Fishing:Volunteering Work:Sports:Modelling:Friend Circle in the University,Yes,4,3.5
English,Chemistry,4,1,Notes:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),Prefer not to Say,No,0,Volunteering Work:Fishing:Programming:Friend Circle in the University:Sports,No,3,1.5
Organic Chemistry,Chemistry,4,4,Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,,No,2,Friend Circle in the University:Programming:Sports:Volunteering Work:Fishing:Modelling,No,1,3
Organic Chemistry,Chemistry,1,2,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,,Yes,10+,Sports:Modelling:Friend Circle in the University:Volunteering Work,No,3,3
Functional Programming,Mathematics,7,2,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides,Yes,No,1,Fishing:Volunteering Work,Yes,2,2
Linear Algebra,History,1,8,Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Recommended:Books-Out Of Course,,Yes,8,Fishing:Volunteering Work:Programming:Sports:Modelling,Yes,3,1.5
Functional Programming,Computer Science,10,3,Notes:Books-Recommended,Yes,Yes,7,Volunteering Work:Programming,Yes,1,4
Organic Chemistry,Chemistry,10,8,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Yes,Yes,9,Modelling:Fishing:Friend Circle in the University:Volunteering Work:Sports,No,4,3
Probability and Statistics,History,3,4,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Notes,Prefer not to Say,No,7,Sports:Volunteering Work:Friend Circle in the University:Modelling:Programming:Fishing,No,4,3.5
Genetics,Chemistry,3,0,Lecture Slides:Books-Recommended:Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,10+,Volunteering Work:Programming:Sports,Yes,2,2.5
Mandarin,Mathematics,3,1,Lecture Slides:Books-Recommended,Prefer not to Say,No,4,Fishing:Programming:Sports:Friend Circle in the University:Volunteering Work:Modelling,No,4,1.5
Functional Programming,Languages,6,8,Internet Resources(Videos Articles):Notes:Books-Out Of Course,No,No,0,Modelling:Sports:Fishing:Volunteering Work:Programming,Yes,2,1.5
Genetics,Chemistry,7,5,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Yes,Yes,4,Friend Circle in the University:Volunteering Work:Programming:Sports:Modelling,Yes,1,2
Databases,Languages,10,1,Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,9,Programming:Volunteering Work:Modelling:Sports:Friend Circle in the University:Fishing,Yes,1,1
English,Chemistry,10,4,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Notes,Yes,No,2,Friend Circle in the University:Sports:Fishing:Volunteering Work:Modelling:Programming,Yes,4,1
English,Languages,9,2,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides,No,Yes,8,Programming:Friend Circle in the University:Sports:Volunteering Work:Fishing,Yes,3,1
Organic Chemistry,Mathematics,9,8,Notes:Internet Resources(Videos Articles),Prefer not to Say,Yes,10+,Programming,Yes,3,4
Probability and Statistics,Mathematics,8,1,Books-Out Of Course:Notes,No,No,5,Volunteering Work:Programming:Friend Circle in the University,No,1,2
Organic Chemistry,Languages,6,0,Books-Recommended:Notes,No,No,9,Programming:Friend Circle in the University:Fishing,Yes,1,2.5
Linear Algebra,Biology,8,9,Lecture Slides,,No,2,Volunteering Work:Friend Circle in the University:Fishing:Programming:Sports:Modelling,Yes,2,2
English,Computer Science,4,7,Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,,No,6,Modelling:Sports:Friend Circle in the University:Programming,No,3,2
Databases,Biology,8,1,Books-Out Of Course:Books-Recommended:Notes:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,8,Sports:Modelling:Fishing:Friend Circle in the University:Programming:Volunteering Work,No,4,4
Organic Chemistry,Mathematics,0,10+,Books-Out Of Course:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Notes,Yes,Yes,5,Volunteering Work:Sports:Programming:Friend Circle in the University,No,3,3
Databases,Languages,7,10+,Notes:Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,9,Fishing:Sports:Modelling:Friend Circle in the University:Volunteering Work,No,3,2.5
Functional Programming,Mathematics,10,4,Books-Recommended:Notes,,Yes,9,Programming:Sports,Yes,2,2.5
Mandarin,Biology,6,3,Lecture Slides:Books-Recommended:Books-Out Of Course:Notes,No,Yes,2,Friend Circle in the University:Fishing:Sports:Programming:Modelling,Yes,1,2
English,Languages,1,8,Books-Out Of Course:Lecture Slides:Books-Recommended:Notes:Internet Resources(Videos Articles),Prefer not to Say,No,7,Volunteering Work:Modelling:Sports:Fishing:Programming,No,1,1
Biochemistry,Biology,6,3,Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides,No,No,1,Sports:Friend Circle in the University:Programming:Volunteering Work:Modelling,Yes,1,1
Mandarin,Biology,4,0,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,1,Volunteering Work:Programming,No,3,3
Latin,Chemistry,9,2,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Out Of Course,Prefer not to Say,No,2,Sports,Yes,3,2
Linear Algebra,History,7,4,Books-Recommended,Yes,Yes,10+,Sports:Programming:Modelling:Fishing:Friend Circle in the University:Volunteering Work,No,1,3
Mandarin,Chemistry,1,10+,Books-Out Of Course:Books-Recommended,Yes,No,2,Fishing:Sports:Volunteering Work:Modelling:Programming:Friend Circle in the University,Yes,3,2
Genetics,Mathematics,0,9,Notes,Yes,No,9,Modelling:Fishing:Programming:Sports:Friend Circle in the University:Volunteering Work,No,3,3
Biochemistry,History,10,3,Books-Recommended:Lecture Slides,Yes,No,7,Modelling:Programming:Fishing:Volunteering Work:Sports,Yes,4,4
Organic Chemistry,Biology,3,0,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Notes,,No,5,Programming:Modelling,No,4,1.5
Linear Algebra,Mathematics,9,8,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended,Yes,No,10+,Fishing,No,2,3
Organic Chemistry,History,1,10+,Lecture Slides:Books-Recommended,No,No,10+,Modelling:Sports:Volunteering Work:Programming:Friend Circle in the University:Fishing,Yes,2,1
Probability and Statistics,Chemistry,7,6,Internet Resources(Videos Articles):Lecture Slides,No,Yes,3,Volunteering Work,No,2,1.5
Functional Programming,Languages,9,9,Books-Recommended,,Yes,6,Friend Circle in the University,Yes,2,3.5
Probability and Statistics,Mathematics,1,1,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),Prefer not to Say,No,0,Volunteering Work,No,4,2
English,Languages,8,5,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,,No,8,Modelling:Volunteering Work:Fishing,No,2,2
Probability and Statistics,Mathematics,3,3,Internet Resources(Videos Articles):Lecture Slides,Yes,No,10+,Programming:Modelling:Friend Circle in the University,Yes,4,3.5
Linear Algebra,Biology,7,5,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Books-Recommended:Notes,No,Yes,8,Programming,Yes,2,3
Organic Chemistry,Biology,7,1,Internet Resources(Videos Articles),,No,2,Friend Circle in the University:Sports:Fishing:Modelling:Volunteering Work:Programming,No,1,3.5
Linear Algebra,Mathematics,7,3,Internet Resources(Videos Articles):Notes:Books-Out Of Course:Books-Recommended:Lecture Slides,Prefer not to Say,Yes,2,Fishing,No,2,1
English,Biology,2,0,Notes:Lecture Slides:Books-Recommended,Yes,Yes,0,Modelling:Programming:Fishing:Sports:Volunteering Work,Yes,1,2.5
Latin,Biology,2,0,Notes:Lecture Slides,Yes,Yes,9,Volunteering Work,No,3,3
Genetics,Biology,0,1,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Books-Recommended,Yes,No,0,Fishing:Friend Circle in the University:Modelling:Volunteering Work:Programming:Sports,No,1,3
Databases,Languages,9,5,Lecture Slides:Books-Out Of Course,Prefer not to Say,No,4,Programming:Sports:Modelling:Fishing:Friend Circle in the University,Yes,3,1.5
English,Languages,0,4,Books-Recommended:Internet Resources(Videos Articles),,Yes,10+,Fishing:Sports:Modelling,No,1,1
Genetics,Computer Science,2,3,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Books-Recommended:Notes,Yes,Yes,4,Sports,No,1,3.5
Latin,Chemistry,8,0,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Notes,No,No,2,Volunteering Work:Sports:Modelling:Friend Circle in the University:Programming:Fishing,Yes,3,2.5
English,History,7,1,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,,Yes,5,Programming:Modelling,Yes,3,4
Genetics,Chemistry,6,4,Notes,Prefer not to Say,Yes,9,Sports:Fishing:Modelling,No,2,3
Latin,Chemistry,6,10+,Books-Recommended:Lecture Slides:Books-Out Of Course,,No,0,Sports:Modelling:Friend Circle in the University:Programming,Yes,1,2
Databases,Chemistry,7,5,Books-Recommended,No,Yes,8,Programming,Yes,4,2.5
Databases,Biology,10,7,Books-Recommended,Prefer not to Say,No,8,Friend Circle in the University:Programming:Sports,Yes,1,3.5
Linear Algebra,Languages,10,9,Internet Resources(Videos Articles),No,No,1,Modelling:Fishing:Volunteering Work:Sports:Friend Circle in the University:Programming,No,1,1.5
Databases,History,6,3,Books-Recommended:Notes,No,Yes,3,Fishing:Sports:Friend Circle in the University:Modelling:Programming:Volunteering Work,Yes,4,1.5
Genetics,Mathematics,5,7,Notes:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),,Yes,3,Friend Circle in the University,No,1,2
Functional Programming,Mathematics,4,5,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,Yes,Yes,0,Modelling:Programming:Sports,No,2,2.5
